,label,question_text
180,0,4.Buyer's Access To Property Before Closing.
182,0,"If this transaction fails to close for any reason other than a default by Seller hereunder, Buyer shall furnish Seller with a copy of all such inspections, studies and surveys and shall assign or quitclaim all of Buyer's right, title and interest in and to any permits, approvals, or permit or approval applications."
183,0,"At Seller's option, Buyer shall provide Seller with lien waivers from those persons performing such inspections, studies or surveys prior to commencement of the work; (c)Seller shall promptly deliver or make available to Buyer the following items relating to the Property which are in the possession of Seller or Seller's property manager at the office of the property manager for the Property for review by Buyer: (i)any existing environmental reports; (ii)any existing survey; (iii)any existing property tax bill for the current tax year; (iv) [the Leases]; and (v)any other contracts, studies, reports, operating information, and other documentation."
184,0,"(d)Buyer shall indemnify Seller against and hold Seller harmless from any injuries, losses, liens, claims, judgments, liabilities, costs, expenses or damages (including reasonable attorneys' fees and court costs) which result from or arise out of any acts or omissions of Buyer or its representatives in, on or about the Property before Closing."
185,0,Buyer agrees to return the Property to substantially the same condition in which the Property was prior to Buyer's making any inspection of the Property.
186,0,5.Title Insurance.
187,0,(a)Preliminary Report.
188,0,"Seller shall make available to Buyer a preliminary title report for a CLTA form owner's policy of title insurance issued by the Title Company showing the condition of Seller's title to the Property, together with copies of all exceptions to title (the ""Preliminary Report"")."
193,0,"In the event Buyer so elects to terminate this Agreement, Seller shall refund the Earnest Money and any and all rights, liabilities or obligations of Seller and Buyer under this Agreement shall terminate and be of no further force or effect except those which may have already accrued."
194,0,(b)Buyer's Title Insurance.
195,0,"As a condition to Closing, the Title Company shall deliver to Buyer, at Seller's expense, a CLTA form owner's policy of title insurance in the face amount of the Purchase Price containing exceptions for the form printed exceptions contained in a CLTA standard coverage owner's policy, and the exceptions specified in the Preliminary Report which have been approved or deemed approved by Buyer (the ""Title Policy"")."
196,0,"Buyer may, at Buyer's election, request the Title Company issue to Buyer an ALTA extended coverage owner's policy of title insurance in place of the standard owner's coverage title policy referred to herein."
197,0,"In the event Buyer so elects, Buyer shall pay for any increase in premium for an ALTA extended form policy, as well as satisfy at its expense any other requirements the Title Company may have for issuing the ALTA extended coverage title policy."
198,0,Seller shall have no responsibility whatsoever for removing any title defects or encumbrances which may affect the ability of the Title Company to issue ALTA extended coverage owner's title insurance.
199,0,"In the event Buyer elects after the expiration or waiver of the Feasibility Period to seek ALTA extended coverage owner's title insurance, and Buyer is unable to obtain such insurance, Buyer shall not be entitled to terminate this Agreement or obtain any refund of the Earnest Money for that reason."
200,0,6.Closing Documents.
201,0,(a)Seller's Documents.
202,0,"At Closing, Seller shall deliver to Buyer the following documents: (i)An executed original grant deed to the Property in the form attached hereto as Exhibit B; (ii)An executed original affidavit that the Seller is not a ""foreign person"" within the meaning of the Foreign Investment in Real Property Tax Act of 1980, as amended; (iii)An executed original withholding certificate or other evidence sufficient to establish that Buyer is not required to withhold any portion of the Purchase Price pursuant to Section 18662 of the California Revenue and Taxation Code; (iv)[An executed original counterpart of an Assignment and Assumption of Lessor's Interest in Leases, assigning Seller's interest in the Leases to Buyer]; and (v)[A notice to each tenant of the Property under the Leases notifying such tenant that any security deposits under the Leases have been transferred to Buyer, and providing Buyer's name and address in accordance with California Civil Code Section 1950.7(d).]"
203,0,[(b)  Buyer's Documents.
204,0,"At Closing, Buyer shall deliver to Seller an executed original counterpart of an Assignment and Assumption of Lessor's Interest in Leases, assuming the Seller's interest in the Leases;] (b)  Further Assurances."
205,0,The parties agree that all documents shall be in form and substance reasonably acceptable to Seller and Buyer and necessary to carry out the intent of the parties hereto.
206,0,The parties further agree to execute such other documents and instruments not listed above as may be reasonably necessary to carry out the intent hereof.
207,0,7.Disclaimer and Release of Claims.
208,0,"THE PURCHASE PRICE REFLECTS THAT THE PROPERTY IS BEING PURCHASED BY BUYER ON AN ""AS IS,"" ""WHERE IS"" AND ""WITH ALL FAULTS"" BASIS."
209,0,"BUYER HEREBY WAIVES AND RELINQUISHES ALL RIGHTS AND PRIVILEGES ARISING OUT OF, OR WITH RESPECT TO, ANY REPRESENTATIONS, WARRANTIES OR COVENANTS, WHETHER EXPRESS OR IMPLIED, WHICH MAY HAVE BEEN MADE OR GIVEN, OR WHICH MAY BE DEEMED TO HAVE BEEN MADE OR GIVEN, BY SELLER OR ITS REPRESENTATIVES, INCLUDING BUT NOT LIMITED TO SELLER'S BROKER, EXCEPT FOR THOSE REPRESENTATIONS, WARRANTIES AND COVENANTS SET FORTH IN THIS AGREEMENT."
210,0,BUYER ACKNOWLEDGES AND AGREES THAT IF ANY ARTWORK IS A PART OF THE PROPERTY IT SHALL BE BUYER'S RESPONSIBILITY TO COMPLY WITH ANY APPLICABLE LAW WITH RESPECT TO SUCH ARTWORK.
211,0,"BUYER HAS NOT RELIED UPON AND WILL NOT RELY UPON, AND SELLER EXPRESSLY DISCLAIMS, ANY REPRESENTATIONS OR WARRANTIES WITH RESPECT TO, AND SHALL HAVE NO LIABILITY FOR: (i) THE CONDITION OF THE PROPERTY OR ANY BUILDINGS, STRUCTURE OR IMPROVEMENTS LOCATED ON THE PROPERTY OR THE SUITABILITY OF THE PROPERTY FOR HABITATION OR FOR BUYER'S INTENDED USE OR FOR ANY USE WHATSOEVER; (ii) ANY APPLICABLE BUILDING, ZONING OR FIRE LAWS OR REGULATIONS OR WITH RESPECT TO COMPLIANCE THEREWITH OR WITH RESPECT TO THE EXISTENCE OF OR COMPLIANCE WITH ANY REQUIRED PERMITS, IF ANY, OF ANY GOVERNMENTAL AGENCY; (iii) THE AVAILABILITY OR EXISTENCE OF ANY WATER, SEWER OR UTILITIES, ANY RIGHTS THERETO, OR ANY WATER, SEWER OR UTILITY DISTRICTS; (iv) ACCESS TO ANY PUBLIC OR PRIVATE SANITARY SEWER SYSTEM; (v) THE FACT THAT ALL OR A PORTION OF THE PROPERTY MAY BE LOCATED ON OR NEAR AN EARTHQUAKE FAULT LINE OR LOCATED IN AN ALQUIST-PRIOLO SPECIAL STUDY ZONE; OR (vi) THE PRESENCE OF ANY HAZARDOUS SUBSTANCES IN ANY IMPROVEMENTS ON THE PROPERTY, INCLUDING WITHOUT LIMITATION ASBESTOS OR FORMALDEHYDE, OR THE PRESENCE OF ANY ENVIRONMENTALLY HAZARDOUS WASTES OR MATERIALS ON OR UNDER THE PROPERTY."
212,0,"WITHOUT LIMITING THE GENERALITY OF THE FOREGOING, SELLER SHALL HAVE NO LIABILITY TO BUYER WITH RESPECT TO THE CONDITION OF THE PROPERTY UNDER COMMON LAW, OR ANY FEDERAL, STATE, OR LOCAL LAW OR REGULATION, INCLUDING BUT NOT LIMITED TO THE COMPREHENSIVE ENVIRONMENTAL RESPONSE, COMPENSATION AND LIABILITY ACT OF 1980 AS AMENDED, 42 U.S.C.A."
213,0,"SECTIONS 9601 ET SEQ., AND THE CALIFORNIA HEALTH AND SAFETY CODE."
214,0,BUYER HEREBY RELEASES AND WAIVES ANY AND ALL CLAIMS WHICH THE BUYER HAS OR MAY HAVE AGAINST THE SELLER UNDER ANY OF THE FOREGOING LAWS OR WITH RESPECT TO THE CONDITION OF THE PROPERTY.
215,0,"BUYER ACKNOWLEDGES TO SELLER THAT BUYER IS GIVEN THE OPPORTUNITY UNDER THIS AGREEMENT TO FULLY INSPECT THE PROPERTY AND BUYER ASSUMES THE RESPONSIBILITY AND RISKS OF ALL DEFECTS AND CONDITIONS, INCLUDING SUCH DEFECTS AND CONDITIONS, IF ANY, THAT CANNOT BE OBSERVED BY CASUAL INSPECTION."
216,0,"BUYER HEREBY ACKNOWLEDGES THAT IT IS FAMILIAR WITH CALIFORNIA CIVIL CODE SECTION 1542, WHICH PROVIDES AS FOLLOWS: ""A GENERAL RELEASE DOES NOT EXTEND TO CLAIMS WHICH THE CREDITOR DOES NOT KNOW OR SUSPECT TO EXIST IN HIS FAVOR AT THE TIME OF EXECUTING THE RELEASE, WHICH IF KNOWN BY HIM MUST HAVE MATERIALLY AFFECTED HIS SETTLEMENT WITH THE DEBTOR."""
217,0,BUYER WAIVES AND RELINQUISHES ANY RIGHT OR BENEFIT WHICH IT HAS OR MAY HAVE UNDER SECTION 1542 OF THE CALIFORNIA CIVIL CODE TO THE FULL EXTENT THAT IT MAY LAWFULLY WAIVE SUCH RIGHTS AND BENEFITS.
218,0,"IN CONNECTION WITH SUCH WAIVER AND RELINQUISHMENT, BUYER ACKNOWLEDGES THAT IT IS AWARE THAT IT OR ITS ATTORNEYS OR ACCOUNTANTS MAY HEREAFTER DISCOVER FACTS IN ADDITION TO OR DIFFERENT FROM THOSE WHICH IT NOW KNOWS OR BELIEVES TO EXIST WITH RESPECT TO THE SUBJECT MATTER OF THIS AGREEMENT OR SELLER, BUT THAT IT IS BUYER'S INTENTION HEREBY FULLY, FINALLY, AND FOREVER TO SETTLE AND RELEASE ALL OF THE CLAIMS, DISPUTES, AND DIFFERENCES, KNOWN OR UNKNOWN, SUSPECTED OR UNSUSPECTED, WHICH NOW EXIST OR MAY EXIST HEREAFTER BETWEEN BUYER AND SELLER WITH REGARD TO THE PROPERTY."
219,0,THIS AGREEMENT SHALL BE AND REMAIN IN EFFECT AS A FULL AND COMPLETE RELEASE NOTWITHSTANDING THE DISCOVERY OR EXISTENCE OF ANY SUCH ADDITIONAL OR DIFFERENT FACTS.
220,0,Seller:  _______________  Buyer:  ________________
221,0,"If Phase I Report is available & given to Buyer: CONCURRENTLY HEREWITH, SELLER HAS DELIVERED TO BUYER A COPY OF A PHASE I ENVIRONMENTAL SITE ASSESSMENT REPORT, DATED ____ , 19__, PREPARED BY __________ (THE ""PHASE I REPORT"")."
222,0,"WITHOUT LIMITING THE GENERALITY OF THE FOREGOING, BY CLOSING THE TRANSACTION AS CONTEMPLATED HEREIN, BUYER AGREES THAT: (i) BUYER SHALL BE DEEMED TO HAVE ACCEPTED ALL RISK ASSOCIATED WITH ADVERSE PHYSICAL CHARACTERISTICS AND EXISTING ENVIRONMENTAL CONDITIONS THAT MAY OR MAY NOT HAVE BEEN REVEALED BY BUYER'S INVESTIGATION OF THE PHASE I REPORT, AND (ii) AS BETWEEN SELLER AND BUYER, BUYER SHALL BE DEEMED TO HAVE ACCEPTED ALL COSTS AND LIABILITIES ASSOCIATED IN ANY WAY WITH THE PHYSICAL AND ENVIRONMENTAL CONDITION OF THE PROPERTY."
223,0,"BUYER ACKNOWLEDGES AND AGREES THAT SELLER MAKES NO REPRESENTATIONS OR WARRANTIES REGARDING THE TRUTH, ACCURACY OR THOROUGHNESS OF THE INVESTIGATION, PREPARATION OR CONTENT OF THE PHASE I REPORT, OR THE COMPETENCE OR ABILITY OF THE PERSONS OR COMPANIES PREPARING SUCH REPORT."
224,0,"BUYER AGREES THAT, BY CLOSING THE TRANSACTION CONTEMPLATED HEREIN, BUYER WILL HAVE HAD AN OPPORTUNITY TO REVIEW THE ABOVE REPORT PRIOR TO THE CLOSING DATE IN ORDER TO MAKE AN INDEPENDENT VERIFICATION OF THE INFORMATION CONTAINED THEREIN, AND THAT BUYER AND ITS ENVIRONMENTAL CONSULTANTS WILL HAVE HAD AN OPPORTUNITY TO CONDUCT TESTS ON THE PROPERTY.]"
225,0,8.Risk of Loss.
226,0,(a)Casualty.
227,0,"Risk of loss of or damage to the Property shall be borne by Seller until the earlier of Closing, or the date on which Buyer takes possession of the Property, and risk of loss of or damage to the Property shall be borne by Buyer thereafter."
228,0,"In the event Seller learns of a material loss of or damage to the Property, Seller shall promptly notify Buyer."
230,0,"If Seller does not so notify Buyer, Buyer may elect either to terminate this Agreement, or to purchase the Property in the condition existing on the Closing Date without adjustment of the Purchase Price."
231,0,"If Buyer elects to terminate this Agreement, the Earnest Money shall be returned to Buyer."
232,0,"If Buyer elects to purchase the Property, Seller shall not be liable to restore the Property, and shall Buyer be entitled to the proceeds of any policies of insurance carried by or for the benefit of Seller up to the amount necessary to restore the Property."
233,0,"If Seller is self-insured, Buyer may elect either to terminate this Agreement (and receive a refund of the Earnest Money), or to purchase the Property in the condition existing on the Closing Date without adjustment of the Purchase Price."
234,0,(b)Condemnation.
235,0,Seller shall promptly notify Buyer of any condemnation or eminent domain proceeding which affects the Property.
236,0,"In the event of any condemnation or eminent domain proceeding, or a deed in lieu or under threat thereof, which affects a material portion of the Property, Buyer may elect either to terminate this Agreement, or to purchase the Property in the condition existing on the Closing Date without adjustment of the Purchase Price."
237,0,"If Buyer elects to terminate this Agreement, the Earnest Money shall be returned to Buyer."
238,0,"If Buyer elects to purchase the Property, Seller shall not be liable to restore the Property, and Buyer shall be entitled to any condemnation award or payment in lieu thereof payable to Seller; provided, however, that Buyer may sue for or otherwise seek payment of any condemnation award or payment in lieu thereof to which Buyer may be independently entitled under applicable law."
239,0,9.Possession.
240,0,"Buyer shall be entitled to possession on Closing[, subject to the rights of any tenants of the Property]."
241,0,10.Escrow Instructions.
242,0,"Upon execution of this Agreement, the parties hereto shall open an escrow by depositing with the Title Company as escrow holder (""Escrow Holder"") an executed counterpart of this Agreement and the Earnest Money."
243,0,"Buyer and Seller shall, on demand, deposit in escrow with the Title Company all instruments and monies necessary to complete the sale in accordance with this Agreement."
244,0,This Agreement shall serve as the instructions to Escrow Holder for consummation of the purchase and sale contemplated hereby.
245,0,Seller and Buyer shall execute such supplemental escrow instructions as may be appropriate to enable the Escrow Holder to comply with the terms of this Agreement.
246,0,11.Closing and Closing Date.
247,0,"The sale shall be closed (the ""Closing"") in escrow in the office of the Title Company on a date to be selected by Buyer by written notice to Seller (the ""Closing Date"")."
248,0,The Closing Date shall occur not later than the date fifteen (15) days after expiration or waiver of the Feasibility Period.
249,0,"12.Proration of Taxes, Rents, Etc."
250,0,"Taxes and assessments for the current year, [rents under the Leases], water and other utilities shall be prorated as of the Closing Date."
251,0,"[At Closing, Seller shall deliver to Buyer all security deposits and any prepaid rents which Seller has in Seller's possession in connection with the Leases."
252,0,"Seller shall not be liable for, and Buyer hereby releases Seller, and agrees to indemnify and hold harmless Seller from, any liability for any claims relating to any such security deposits or prepaid rents."
253,0,"Rents in arrears shall not be prorated, but shall be paid to Seller by Buyer when collected by Buyer."
254,0,The first monies received by Buyer from each tenant after the Closing Date shall be applied first to current rent due (unless specifically otherwise designated by the tenant) and thereafter shall be applied to rent in arrears.
255,0,"Seller shall retain all ownership rights relating to any such delinquent rents and if Buyer has not collected the same within sixty (60) days from the Closing Date, Seller may take such action as it deems necessary to collect such delinquent rents, including the commencement of an action against the tenants under the Leases or any other person liable for such delinquent rents, but Seller shall not have the right to cause the tenancy of such tenant to be terminated.]"
256,0,13.Closing Costs.
257,0,(a)Seller's Costs.
258,0,"Seller shall pay (i) the premium for the Title Policy, (ii) one-half of the Title Company's escrow fees, and (iii) any transfer taxes payable on the conveyance of the Property."
259,0,(b)Buyer's Costs.
260,0,"Buyer shall pay (i) the cost of recording the conveyance of the Property, (ii) one-half of the Title Company's escrow fees, (iii) any excess in title insurance premium for ALTA extended coverage title insurance (if Buyer has elected to obtain the same as set forth in Section 5 above), (iv) premiums for endorsements to the title insurance, and (v) costs of any survey."
261,0,14.Default.
262,0,(a)Time is of the essence of this Agreement.
263,0,"(b)IN THE EVENT BUYER FAILS, WITHOUT LEGAL EXCUSE, TO COMPLETE THE PURCHASE OF THE PROPERTY OR TO PERFORM ANY COVENANT OR AGREEMENT OF BUYER CONTAINED HEREIN, THE EARNEST MONEY SHALL BE PAID TO SELLER AS THE SOLE AND EXCLUSIVE REMEDY AVAILABLE TO SELLER FOR SUCH FAILURE."
264,0,"BUYER EXPRESSLY AGREES THAT THE RETENTION OF THE EARNEST MONEY BY SELLER REPRESENTS A REASONABLE ESTIMATION OF THE DAMAGES IN THE EVENT OF BUYER'S DEFAULT, THAT ACTUAL DAMAGES MAY BE DIFFICULT TO ASCERTAIN AND THAT THIS PROVISION DOES NOT CONSTITUTE A FORFEITURE OR PENALTY WITHIN THE MEANING OF CALIFORNIA CIVIL CODE SECTIONS 3275 OR 3369 BUT IS INTENDED TO CONSTITUTE LIQUIDATED DAMAGES TO SELLER PURSUANT TO CALIFORNIA CIVIL CODE SECTIONS 1671, 1676 AND 1677."
265,0,"IN THIS RESPECT, BUYER AND SELLER ACKNOWLEDGE THAT THESE DAMAGES HAVE BEEN SPECIFICALLY NEGOTIATED BETWEEN BUYER AND SELLER AND ARE, INTER ALIA, TO COMPENSATE SELLER FOR TAKING THE PROPERTY OFF THE MARKET AND TO COMPENSATE SELLER FOR ITS COSTS AND EXPENSES ASSOCIATED WITH THIS AGREEMENT."
266,0,"BUYER HEREBY WAIVES THE RIGHTS AND BENEFITS OF ANY LAW, RULE, REGULATION OR ORDER NOW OR HEREAFTER EXISTING THAT WOULD ALLOW BUYER TO CLAIM A REFUND OF THE EARNEST MONEY AS UNEARNED EARNEST MONEY, A PENALTY OR FOR ANY OTHER REASON."
267,0,"IF, NOTWITHSTANDING THE PROVISIONS OF THIS PARAGRAPH, A COURT DETERMINES THAT SELLER IS NOT ENTITLED TO RETAIN THE ENTIRE EARNEST MONEY AS A RESULT OF BUYER'S DEFAULT, SELLER SHALL BE ENTITLED TO SEEK ANY AND ALL DAMAGES PROVIDED BY LAW."
269,0,15.Oral Agreements and Representations.
270,0,This Agreement represents the final and complete expression of the parties hereto with respect to the subject matter hereof.
271,0,"There are no oral or other agreements, including but not limited to any representations or warranties, which modify or affect this Agreement."
272,0,"Seller shall not be bound by, nor liable for, any warranties or other representations made by any other person, partnership, corporation or other entity unless such representations are set forth in a written instrument duly executed by Seller."
273,0,"Buyer acknowledges to Seller that in entering into this Agreement, Buyer is not relying on any warranties except those expressly set forth herein."
274,0,16.Assignment.
275,0,Buyer may take title to the Property in its own name or in the name of a nominee.
276,0,"However, Buyer's rights under this Agreement are not assignable except to an entity in which Buyer maintains an ownership interest and in such case Buyer shall not be relieved of any liability or obligation hereunder."
277,0,Buyer covenants not to otherwise assign its rights hereunder without the prior written consent of Seller.
278,0,17.Authority.
279,0,Buyer and Seller each warrant and represent that they have the authority to enter into this Agreement.
280,0,18.Nonmerger.
281,0,"The terms and provisions of this Agreement shall not merge in, but shall survive, the Closing of the transaction contemplated hereunder and the deed to be delivered pursuant hereto."
282,0,19.Brokers.
283,0,Buyer represents and warrants to Seller that Buyer has not dealt with any real estate broker other than _______________ in connection with the negotiations leading to this Agreement.
284,0,"Buyer agrees to indemnify and hold Seller harmless from and against the claims of any other brokers or intermediaries claiming to have had any dealings, negotiations or consultations with Buyer in connection with this Agreement or the sale of the Property."
285,0,20.Notices.
286,0,"Any notice required or desired to be given hereunder shall be in writing and shall be addressed to the address of the party to be served, at the address provided in this Section."
287,0,"Each notice shall be deemed effective and given (i) upon receipt, if personally delivered (which shall include delivery by courier or overnight deliver service), (ii) upon being telephonically confirmed as transmitted, if sent by telegram, telefax or telecopy, (iii) three (3) business days after deposit in the United States mail, certified and postage prepaid, and properly addressed to the party to be served, and (iv) upon receipt if sent any other way."
288,0,"The parties hereto may from time to time, by written notice to the other in accordance with this Section, designate a different address than that set forth below for the purpose of giving notice hereunder."
289,0,If to Seller:    ____________________________________ ____________________________________ ____________________________________ Attention: ____________________________ With a copy to:    ____________________________ ____________________________ ____________________________ Attention: _______________ If to Buyer:     ____________________________ ____________________________ ____________________________ Attention: ___________________  21.Attorneys' Fees.
290,0,"In any action to enforce the terms of this Agreement, the prevailing party shall be entitled to recover its costs and reasonable attorneys' fees, including at trial, on appeal, and in any bankruptcy proceedings."
291,0,22.State Law.
292,0,This Agreement shall be governed by and construed in accordance with the internal laws of the state in which the Property is located.
293,0,23.Counterparts/Facsimile.
294,0,"This Agreement may be executed in any number of counterparts, each of which shall be deemed an original, but all of which shall constitute one and the same instrument."
295,0,A facsimile may be deemed an original for all purposes.
296,0,[If Arbitration Clause is Used: Arbitration of Disputes.
297,0,"Any dispute regarding the interpretation, enforcement or performance of this Agreement, [the bill of sale, or the assignment of leases] shall be decided by arbitration before a single arbitrator pursuant to the commercial arbitration rules of JAMS."
298,0,"Following a demand for arbitration, the parties shall have ten calendar days to agree upon an arbitrator."
299,0,"If the parties cannot agree upon an arbitrator within such period, then either party may request that JAMS appoint an arbitrator."
300,0,"The decision of such arbitrator shall be final, and either party may apply to a court of competent jurisdiction for the confirmation thereof."
301,0,"The prevailing party in such arbitration shall be entitled to reimbursement of its reasonable attorneys' fees and costs, expert witness fees and arbitration fees."
302,0,"Any such arbitration shall be conducted in Los Angeles County, California."
303,0,"NOTICE:  BY INITIALLING IN THE SPACE BELOW YOU ARE AGREEING TO HAVE ANY DISPUTE ARISING OUT OF THE MATTERS INCLUDED IN THE ""ARBITRATION OF DISPUTES"" PROVISION DECIDED BY NEUTRAL ARBITRATION AS PROVIDED BY CALIFORNIA LAW AND YOU ARE GIVING UP ANY RIGHTS YOU MIGHT POSSESS TO HAVE THE DISPUTE LITIGATED IN A COURT OR JURY TRIAL."
304,0,"BY INITIALLING IN THE SPACE BELOW YOU ARE GIVING UP YOUR JUDICIAL RIGHTS TO DISCOVERY AND APPEAL, UNLESS THOSE RIGHTS ARE SPECIFICALLY INCLUDED IN THE ""ARBITRATION OF DISPUTES"" PROVISION."
305,0,"IF YOU REFUSE TO SUBMIT TO ARBITRATION AFTER AGREEING TO THIS PROVISION, YOU MAY BE COMPELLED TO ARBITRATE UNDER THE AUTHORITY OF THE CALIFORNIA CODE OF CIVIL PROCEDURE."
306,0,YOUR AGREEMENT TO THIS ARBITRATION PROVISION IS VOLUNTARY.
307,0,"WE HAVE READ AND UNDERSTAND THE FOREGOING AND AGREE TO SUBMIT DISPUTES ARISING OUT OF THE MATTERS INCLUDED IN THE ""ARBITRATION OF DISPUTES"" PROVISION TO NEUTRAL ARBITRATION."
308,0,Buyer's Initials: _________  Seller's Initials: _________] [If Buyer involved in tax free exchange: Exchange.
309,0,"Seller acknowledges that Buyer's purchase of the Property may be accomplished in connection with a tax-free exchange, and Seller agrees to cooperate with Buyer in completing such an exchange, provided that all costs in connection therewith shall be borne by Buyer."
311,0,"If Buyer has not found a suitable exchange accommodator or facilitator in its sole discretion, Buyer may terminate this Agreement by delivering written notice of its intention to so terminate to Seller at any time within such 10-day period, in which event this Agreement shall terminate, the Earnest Money deposit shall be returned to Buyer and the parties shall have no further obligations hereunder."
312,0,"If Buyer fails to give such notice to terminate within such 10-day period, Buyer shall be deemed to have waived the contingency described in this Section and this Agreement shall remain in full force and effect.]"
313,0,"[signature page follows]  IN WITNESS WHEREOF, the parties hereto have executed this Agreement as of the date first above written."
314,0,"GRANT DEED FOR A VALUABLE CONSIDERATION, RECEIPT OF WHICH IS HEREBY ACKNOWLEDGED, ___________________________ hereby grants to the real property described in Exhibit A attached hereto and made a part hereof (the ""Property"")."
315,0,"This conveyance is subject to non-delinquent taxes and assessments, and all matters affecting title to the Property."
316,0,WITNESS my hand and official seal.
317,0,"State of ______________   REAL ESTATE PURCHASE AGREEMENT  This Real Estate Purchase Agreement (this Agreement) is entered into as of the _____ day of _______________, 20_____ by and among/between:  Seller: ________________________, a/an (Check one)       individual       corporation       limited liability company        partnership       limited partnership       limited liability partnership       a trust located at ________________________________________ [Address] (Seller) and  Buyer: ________________________, a/an (Check one)       individual       corporation       limited liability company       partnership       limited partnership       limited liability partnership       a trust located at ________________________________________ [Address] (Buyer)."
318,0,Each Seller and Buyer may be referred to in this Agreement individually as a Party and collectively as the Parties.  1.
319,0,Property.
320,0,"Seller hereby agrees to sell to Buyer, and Buyer hereby agrees to purchase from Seller (the Transaction), all of Sellers right, title and interest in the real property located at ________________________________________ [Property address], and the legal description:     ______________________________________________________________________ (the Property)."
321,0,Personal Property.
322,0,"(A) The sale includes all of Sellers right, title and interest to all real estate, buildings, improvements, appurtenances and fixtures (except as described below)."
323,0,Fixtures shall include all things that are embedded in the land or attached to any buildings and cannot be removed without damage to the Property.
324,0,"In addition, the following items shall be included in the sale: _________________________  (B) The following fixtures and items are excluded from the sale: ______________________________  3."
325,0,Purchase Price.
326,0,The purchase price for the Property is $__________ (the Purchase Price) payable by Buyer as follows:  (A) Earnest Money Deposit.
327,0,"$__________ (the Deposit), due upon the signing of this Agreement, the receipt of which is hereby acknowledged, to be held in escrow pursuant to this Agreement."
328,0,The Deposit shall be applied to the Purchase Price at the Closing.
329,0,(B) Closing Balance.
330,0,The remainder of the Purchase Price is due upon the delivery of the general warranty deed at the Closing.
331,0,This amount is subject to change based on adjustments made pursuant to this Agreement.
332,0,"Unless otherwise stated in the Agreement, all payments shall be made in proceeds that are immediately available to Seller by one of the following methods:        Official bank check       Wire transfer       Certified check     Other: _______________ "
333,0,Disclosures.
334,0,"Seller shall provide Buyer with all disclosures, and signed disclosure forms, as required by law, including: _____________________________________________________________________   Seller shall also disclose to Buyer in writing any defects in the Property known to Seller that materially affects the value or quiet enjoyment of the Property."
335,0,"Buyers obligations under this Agreement are contingent upon Buyers review and approval of all required Seller disclosures and reports, including any preliminary title report."
336,0,Assumption of Loan.
337,0,"(Check one)      Buyer shall assume Sellers existing mortgage (the Mortgage) owed to _______________________ [Financial institution], dated _______________, 20_____, having a present balance of $__________."
338,0,Buyer agrees to assume and pay the Mortgage in accordance with its terms for all payments due after the Closing.
339,0,All fees associated with the transfer of the Mortgage shall be paid by (Check one)       Seller       Buyer.
340,0,    Buyer shall NOT assume Sellers existing mortgage.
341,0,6. Financing Contingency.
342,0,(Check one)      Purchase is NOT contingent upon Buyers ability to obtain a mortgage.
343,0,    Purchase is contingent upon Buyers ability to obtain a mortgage.
344,0,    Upon terms acceptable to Buyer in Buyer's sole discretion.
345,0,"    In the amount of $__________, which is at least __________ years with an interest rate not exceeding __________%."
347,0,(  Buyer's obligations under this Agreement are also contingent upon an appraisal on the Property equaling or exceeding the Purchase Price.)
348,0,Sale of Another Property Contingency.
349,0,(Check one)      Buyers obligations under this Agreement are NOT contingent upon Buyers sale and closing of Buyers property.
350,0,    Buyers obligations under this Agreement are contingent upon Buyers sale and closing of Buyers property located at ________________________________________.
351,0,Seller Representations and Warranties.
352,0,"Seller represents and warrants that:  (A)  Seller is the sole owner of record of the Property and has full right, power and authority to sell, convey and transfer the Property."
353,0,(B)  Seller will convey to Buyer good and marketable title to the Property by providing to Buyer a valid general warranty deed.
354,0,"(C)  The Property and the present use of the Property are not in violation of any governmental rules, codes, permits, regulations or limitations, and represents that nothing will be done or allowed to be done on or about the Property between the signing of this Agreement and the date of the Closing which will result in any such violation."
355,0,"(Check all that apply)     Seller is not a foreign person as defined in Section 1445(f) of the Internal Revenue Code of 1986, as amended."
356,0,    Any and all mortgage liens on the Property will have been released on the date of the Closing.
358,0,    Seller is not a debtor in a proceeding presently in any bankruptcy court.
359,0,    Seller has no knowledge of the existence of any municipal lien and/or assessment.
360,0,"    Seller will notify Buyer immediately of any matters that may impact the Property, including, but not limited to, attachments, liens and any notice zoning matters."
361,0,    Seller shall maintain the current insurance policy on the property until the Closing.
362,0,"    Any material alterations, additions or improvements to the Property have been made pursuant to and in accordance with the necessary and required filings, permits, authorizations and/or consents."
363,0,    Other: _______________  9.
364,0,Inspection.
365,0,Buyers obligations under this Agreement are contingent upon Buyers inspection of the Property.
366,0,"Buyer may use any inspectors of Buyers choice, at Buyers expense."
367,0,Seller shall cooperate in making the Property reasonably available for Buyers inspection.
368,0,"If Buyer is not, in good faith, satisfied with the condition of the Property after any inspection thereof, Buyer shall deliver to Seller a written request that Seller fix or remedy any unsatisfactory conditions."
369,0,"If Buyer and Seller are unable to reach an agreement regarding fixing or remedying the unsatisfactory conditions (  on or before _______________, 20_____), Buyer shall have the right to terminate this Agreement and be refunded any amounts previously paid under this Agreement."
370,0,Title Insurance.
